Instance ID,Pattern,mg-ca,mg-ce,Number of Classes,cg-na,cg-npm,TD,Minor,Major,Critical
309,(Object)Adapter,40,12,2,3,5,0,0,0,0
310,(Object)Adapter,1,27,2,13,9,0,0,0,0
311,(Object)Adapter,1,27,2,16,15,0,0,0,0
312,(Object)Adapter,734,40,2,18,43,0,0,0,0
313,(Object)Adapter,134,19,2,19,18,0,0,0,0
314,(Object)Adapter,137,25,2,11,26,0,0,0,0
315,(Object)Adapter,140,12,2,2,19,15,5,1,9
316,(Object)Adapter,30,25,2,19,28,0,0,0,0
317,(Object)Adapter,30,27,2,25,29,0,0,0,0
318,(Object)Adapter,44,19,2,6,15,0,0,0,0
319,(Object)Adapter,44,16,2,15,16,0,0,0,0
320,(Object)Adapter,60,20,2,13,62,13,0,9,4
321,(Object)Adapter,603,15,2,12,46,13,0,9,4
322,(Object)Adapter,733,30,2,7,34,1,0,1,0
323,(Object)Adapter,43,30,2,7,11,0,0,0,0
324,(Object)Adapter,43,26,2,3,10,0,0,0,0
325,(Object)Adapter,43,22,2,2,10,0,0,0,0
326,(Object)Adapter,20,25,2,12,18,0,0,0,0
327,(Object)Adapter,16,35,2,25,12,0,0,0,0
328,(Object)Adapter,18,10,2,2,5,0,0,0,0
329,(Object)Adapter,2,21,2,13,17,0,0,0,0
330,(Object)Adapter,110,46,2,49,76,0,0,0,0
331,(Object)Adapter,166,167,2,145,103,28,0,10,18
332,(Object)Adapter,129,95,2,52,38,1,0,0,1
333,(Object)Adapter,734,17,2,8,31,11,0,0,10
334,(Object)Adapter,27,17,2,7,14,11,0,0,10
335,(Object)Adapter,13,16,2,2,12,11,0,0,10
336,(Object)Adapter,13,14,2,2,12,11,0,0,10
337,(Object)Adapter,61,175,2,153,100,28,0,10,18
338,(Object)Adapter,16,105,2,69,41,1,0,0,1
339,(Object)Adapter,0,33,1,41,11,0,0,0,0
340,(Object)Adapter,1,51,2,58,34,3,1,0,2
341,(Object)Adapter,60,11,2,5,46,2,0,2,0
342,(Object)Adapter,30,24,2,4,3,0,0,0,0
343,(Object)Adapter,118,52,2,57,49,2,0,2,0
344,(Object)Adapter,118,33,2,19,50,2,0,2,0
345,(Object)Adapter,4,34,1,30,21,0,0,0,0
346,(Object)Adapter,30,50,2,32,26,0,0,0,0
347,(Object)Adapter,30,16,2,5,9,0,0,0,0
348,(Object)Adapter,30,27,2,13,14,0,0,0,0
349,(Object)Adapter,30,40,2,41,17,0,0,0,0
350,(Object)Adapter,31,51,2,18,5,0,0,0,0
351,(Object)Adapter,30,7,2,2,4,0,0,0,0
352,(Object)Adapter,157,31,2,32,21,0,0,0,0
353,(Object)Adapter,162,55,2,24,38,1,0,0,1
354,(Object)Adapter,157,24,2,4,19,0,0,0,0
355,(Object)Adapter,157,20,2,1,17,0,0,0,0
356,(Object)Adapter,118,59,2,21,41,2,0,2,0
357,(Object)Adapter,135,7,2,1,16,0,0,0,0
358,(Object)Adapter,700,182,2,146,287,28,0,10,18
359,(Object)Adapter,666,110,2,53,223,1,0,0,1
360,(Object)Adapter,61,13,2,7,31,0,0,0,0
361,(Object)Adapter,61,13,2,9,31,0,0,0,0
362,(Object)Adapter,61,13,2,9,31,0,0,0,0
363,(Object)Adapter,61,13,2,7,31,0,0,0,0
364,(Object)Adapter,61,14,2,10,31,0,0,0,0
365,(Object)Adapter,61,13,2,9,31,0,0,0,0
366,(Object)Adapter,61,13,2,8,31,0,0,0,0
367,(Object)Adapter,61,13,2,7,31,0,0,0,0
368,(Object)Adapter,61,13,2,8,31,0,0,0,0
369,(Object)Adapter,61,13,2,7,31,0,0,0,0
370,(Object)Adapter,61,14,2,8,31,0,0,0,0
371,(Object)Adapter,61,14,2,8,31,0,0,0,0
372,(Object)Adapter,61,14,2,8,31,0,0,0,0
373,(Object)Adapter,61,14,2,8,31,0,0,0,0
374,(Object)Adapter,61,14,2,10,31,0,0,0,0
375,(Object)Adapter,61,13,2,7,31,0,0,0,0
376,(Object)Adapter,61,17,2,9,32,0,0,0,0
377,(Object)Adapter,61,17,2,10,32,0,0,0,0
378,(Object)Adapter,61,14,2,10,31,0,0,0,0
379,(Object)Adapter,61,13,2,7,31,0,0,0,0
380,(Object)Adapter,61,13,2,9,31,0,0,0,0
381,(Object)Adapter,61,13,2,7,31,0,0,0,0
382,(Object)Adapter,60,12,2,10,31,0,0,0,0
383,(Object)Adapter,61,13,2,9,31,0,0,0,0
384,(Object)Adapter,61,15,2,9,31,0,0,0,0
385,(Object)Adapter,61,14,2,10,31,0,0,0,0
386,(Object)Adapter,61,14,2,10,31,0,0,0,0
387,(Object)Adapter,61,12,2,7,30,0,0,0,0
388,(Object)Adapter,733,18,2,7,35,0,0,0,0
389,(Object)Adapter,733,18,2,7,35,0,0,0,0
390,(Object)Adapter,13,20,2,5,5,0,0,0,0
391,(Object)Adapter,13,13,2,2,4,0,0,0,0
392,(Object)Adapter,15,28,2,12,14,0,0,0,0
393,(Object)Adapter,14,18,2,2,6,0,0,0,0
394,(Object)Adapter,5,46,2,23,13,0,0,0,0
395,(Object)Adapter,5,43,2,17,12,0,0,0,0
396,(Object)Adapter,5,21,2,6,11,0,0,0,0
397,(Object)Adapter,2,23,2,9,7,0,0,0,0
398,(Object)Adapter,1,35,2,18,9,0,0,0,0
399,(Object)Adapter,157,23,2,4,18,0,0,0,0
400,(Object)Adapter,157,51,2,26,20,0,0,0,0
401,(Object)Adapter,157,65,2,17,18,4,0,2,2
402,(Object)Adapter,157,38,2,19,20,1,0,0,1
403,(Object)Adapter,157,32,2,44,23,0,0,0,0
404,(Object)Adapter,17,75,2,56,38,1,0,0,1
405,(Object)Adapter,11,81,2,58,40,1,0,0,1
406,(Object)Adapter,664,27,2,1,47,0,0,0,0
407,(Object)Adapter,664,26,2,1,45,0,0,0,0
408,(Object)Adapter,665,55,2,12,194,1,0,0,1
409,(Object)Adapter,17,25,2,27,42,0,0,0,0
410,(Object)Adapter,12,23,2,26,42,0,0,0,0
411,(Object)Adapter,66,117,2,36,73,6,0,3,2
412,(Object)Adapter,66,90,2,29,74,2,0,1,0
413,(Object)Adapter,755,35,2,12,61,0,0,0,0
414,(Object)Adapter,755,49,2,18,56,0,0,0,0
415,(Object)Adapter,755,46,2,12,55,0,0,0,0
416,(Object)Adapter,66,87,2,20,70,2,0,1,0
417,(Object)Adapter,67,95,2,33,78,3,0,1,1
418,(Object)Adapter,6,98,2,55,43,1,0,0,1
419,(Object)Adapter,154,166,2,142,162,28,0,10,18
420,(Object)Adapter,602,15,2,8,37,0,0,0,0
421,(Object)Adapter,38,16,2,4,17,0,0,0,0
422,(Object)Adapter,734,25,2,11,39,0,0,0,0
423,(Object)Adapter,60,11,2,5,46,0,0,0,0
424,(Object)Adapter,4,93,1,50,59,1,0,0,1
425,(Object)Adapter,57,56,2,47,52,10,0,5,5
426,(Object)Adapter,57,58,2,48,53,10,0,5,5
427,(Object)Adapter,58,57,2,40,49,10,0,5,5
428,(Object)Adapter,158,169,2,150,134,30,0,12,18
429,(Object)Adapter,10,61,2,47,33,0,0,0,0
430,(Object)Adapter,3,43,2,13,14,1,0,0,1
431,(Object)Adapter,40,46,2,6,51,0,0,0,0
432,(Object)Adapter,67,85,2,19,72,13,0,1,11
433,(Object)Adapter,57,55,2,41,48,10,0,5,5
434,(Object)Adapter,57,61,2,55,52,14,0,7,7
435,(Object)Adapter,3,19,2,14,20,0,0,0,0
436,(Object)Adapter,2,16,1,8,16,0,0,0,0
437,(Object)Adapter,665,39,2,14,202,0,0,0,0
438,(Object)Adapter,666,31,2,13,205,13,0,9,4
439,(Object)Adapter,666,22,2,5,193,2,0,2,0
440,(Object)Adapter,5,15,2,10,4,0,0,0,0
441,(Object)Adapter,1,4,2,5,8,0,0,0,0
442,(Object)Adapter,2,14,2,6,6,0,0,0,0
443,(Object)Adapter,2,8,2,5,5,0,0,0,0
444,(Object)Adapter,1,5,2,3,5,0,0,0,0
445,(Object)Adapter,1,5,2,3,5,0,0,0,0
446,(Object)Adapter,3,13,2,6,7,0,0,0,0
447,(Object)Adapter,2,12,1,6,6,0,0,0,0
448,(Object)Adapter,1,21,1,11,5,0,0,0,0
449,(Object)Adapter,3,44,1,43,5,1,0,1,0
