Instance ID,Pattern,mg-ca,mg-ce,Number of Classes,cg-na,cg-npm,TD,Minor,Major,Critical
1048,State,111,38,2,15,80,0,0,0,0
1049,State,109,20,2,5,68,0,0,0,0
1050,State,109,41,2,16,68,0,0,0,0
1051,State,109,35,2,11,67,0,0,0,0
1052,State,122,55,2,11,71,0,0,0,0
1053,State,109,14,2,9,67,0,0,0,0
1054,State,110,32,2,16,71,2,1,0,1
1055,State,110,11,2,10,74,2,0,2,0
1056,State,109,20,2,8,69,1,0,0,1
1057,State,755,24,2,2,52,0,0,0,0
1058,State,135,47,2,49,47,0,0,0,0
1059,State,138,125,2,119,51,5,0,2,3
1060,State,496,17,2,8,18,0,0,0,0
1061,State,3,3,2,0,1,11,0,3,8
1062,State,181,92,2,65,35,13,0,9,4
1063,State,179,51,2,29,37,4,0,2,2
1064,State,179,45,2,37,25,0,0,0,0
1065,State,669,174,2,45,205,15,5,1,9
1066,State,667,69,2,37,194,0,0,0,0
1067,State,670,73,2,15,197,0,0,0,0
1068,State,665,31,2,10,195,0,0,0,0
1069,State,665,60,2,15,197,1,0,0,1
1070,State,666,37,2,14,195,2,0,2,0
1071,State,44,15,2,8,10,0,0,0,0
1072,State,44,19,2,8,10,0,0,0,0
1073,State,44,15,2,8,10,0,0,0,0
1074,State,44,18,2,9,10,0,0,0,0
1075,State,44,24,2,9,10,0,0,0,0
1076,State,44,19,2,9,10,0,0,0,0
1077,State,44,17,2,12,14,0,0,0,0
1078,State,43,22,2,6,10,0,0,0,0
1079,State,44,13,2,11,10,0,0,0,0
1080,State,44,16,2,12,10,1,0,1,0
1081,State,44,13,2,11,10,0,0,0,0
1082,State,44,16,2,12,10,1,0,1,0
1083,State,44,12,2,22,10,0,0,0,0
1084,State,43,19,2,7,10,0,0,0,0
1085,State,5,24,2,7,7,0,0,0,0
1086,State,148,8,2,2,13,0,0,0,0
1087,State,3,118,1,116,31,5,0,2,3
1088,State,180,19,2,7,22,2,0,2,0
1089,State,180,7,2,1,20,0,0,0,0
1090,State,1,19,1,8,4,0,0,0,0
1091,State,44,19,2,6,16,0,0,0,0
1092,State,44,16,2,15,17,0,0,0,0
1093,State,44,15,2,8,17,0,0,0,0
1094,State,44,27,2,5,9,0,0,0,0
1095,State,44,32,2,12,10,0,0,0,0
1096,State,43,18,2,6,12,0,0,0,0
1097,State,43,15,2,6,14,0,0,0,0
1098,State,43,18,2,6,12,0,0,0,0
1099,State,43,15,2,6,14,0,0,0,0
1100,State,20,26,2,5,6,0,0,0,0
1101,State,1,11,1,4,4,0,0,0,0
1102,State,1,16,1,7,5,0,0,0,0
1103,State,149,10,2,5,15,0,0,0,0
1104,State,149,22,2,8,17,0,0,0,0
1105,State,148,24,2,6,14,0,0,0,0
1106,State,149,25,2,7,15,0,0,0,0
1107,State,150,25,2,8,15,0,0,0,0
1108,State,149,17,2,12,16,0,0,0,0
