Class,Patterns,cg-na,cg-npm
io.questdb.griffin.engine.functions.catalogue.PgIsInRecoveryFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.bool.InSymbolCursorFunctionFactory,"State, Factory Method, Decorator",36,51
io.questdb.griffin.engine.functions.math.BitwiseOrLongFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.date.DaysPerMonthFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.str.SubStringFunctionFactory,"State, Factory Method, Decorator",6,12
io.questdb.griffin.engine.functions.catalogue.AbstractEmptyCatalogueFunctionFactory,"Factory Method, Decorator",6,9
io.questdb.griffin.engine.functions.groupby.LastLongGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.date.HourOfDayFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.str.SizePrettyFunctionFactory,"State, Factory Method, Decorator",9,11
io.questdb.griffin.engine.functions.math.NegByteFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.catalogue.PrefixedAgeFunctionFactory,"Factory Method, Decorator",3,6
io.questdb.griffin.engine.functions.rnd.RndBinFunctionFactory,"(Object)Adapter, Factory Method, Decorator",5,13
io.questdb.griffin.engine.functions.cast.CastLongToTimestampFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.date.MillisOfSecondFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.catalogue.DumpMemoryUsageFunctionFactory,"Factory Method, Decorator",6,6
io.questdb.griffin.engine.functions.cast.CastDateToDoubleFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.SwappingArgsFunctionFactory,"Factory Method, Decorator",6,5
io.questdb.griffin.engine.functions.cast.CastBooleanToLongFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.eq.EqBooleanCharFunctionFactory,"State, Factory Method, Decorator",2,11
io.questdb.griffin.engine.functions.math.CosDoubleFunctionFactory,"State, Factory Method, Decorator",4,8
io.questdb.griffin.engine.functions.date.ToTimestampFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.eq.EqDoubleFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.rnd.RndFloatFunctionFactory,"(Object)Adapter, Factory Method, Decorator",4,9
io.questdb.griffin.engine.functions.cast.CastStrToShortFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.analytic.RowNumberFunctionFactory,"(Object)Adapter, Factory Method, Decorator",10,19
io.questdb.griffin.engine.functions.cast.CastTimestampToStrFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.eq.EqSymStrFunctionFactory,"State, Factory Method, Decorator",1,11
io.questdb.griffin.engine.functions.cast.CastFloatToBooleanFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.math.BitwiseXorIntFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.eq.EqShortFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.str.StrPosCharFunctionFactory,"State, Factory Method, Decorator",4,11
