Class,TotalBrokenRules,Minor,Major,Critical,Info
core:src/test/java/io/questdb/test/cairo/IntervalBwdDataFrameCursorTest.java,46,11.0,8.0,27.0,0.0
core:src/test/java/io/questdb/test/cairo/IntervalFwdDataFrameCursorTest.java,48,13.0,8.0,27.0,0.0
core:src/test/java/io/questdb/test/cairo/MemRemappedFileTest.java,1,0.0,0.0,1.0,0.0
core:src/test/java/io/questdb/test/cairo/PartitionByTest.java,21,1.0,3.0,17.0,0.0
core:src/test/java/io/questdb/test/cairo/RecordChainTest.java,4,3.0,1.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/RecordCursorPrinter.java,3,0.0,3.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/RecoverVarIndexTest.java,13,3.0,0.0,10.0,0.0
core:src/test/java/io/questdb/test/cairo/SymbolMapTest.java,19,15.0,4.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/TableModel.java,2,0.0,2.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/TableNameRegistryTest.java,8,0.0,4.0,4.0,0.0
core:src/test/java/io/questdb/test/cairo/TableReadFailTest.java,3,1.0,2.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/TableReaderMetadataTest.java,23,9.0,0.0,14.0,0.0
core:src/test/java/io/questdb/test/cairo/TableReaderMetadataTimestampTest.java,18,3.0,0.0,15.0,0.0
core:src/test/java/io/questdb/test/cairo/TableReaderReloadFuzzTest.java,1,0.0,1.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/TableReaderReloadTest.java,3,0.0,3.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/TableReaderTailRecordCursorTest.java,4,0.0,3.0,1.0,0.0
core:src/test/java/io/questdb/test/cairo/TableReaderTest.java,85,27.0,38.0,20.0,0.0
core:src/test/java/io/questdb/test/cairo/TableUtilsTest.java,7,1.0,5.0,1.0,0.0
core:src/test/java/io/questdb/test/cairo/TableWriterTest.java,117,45.0,47.0,24.0,1.0
core:src/test/java/io/questdb/test/cairo/TxnScoreboardTest.java,15,0.0,5.0,10.0,0.0
core:src/test/java/io/questdb/test/cairo/TxnTest.java,5,2.0,0.0,3.0,0.0
core:src/test/java/io/questdb/test/cairo/map/CompactMapTest.java,21,12.0,8.0,1.0,0.0
core:src/test/java/io/questdb/test/cairo/map/FastMapTest.java,23,11.0,10.0,2.0,0.0
core:src/test/java/io/questdb/test/cairo/map/RecordValueSinkFactoryTest.java,2,0.0,2.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/pool/ReaderPoolTest.java,23,4.0,14.0,5.0,0.0
core:src/test/java/io/questdb/test/cairo/pool/WriterPoolTest.java,28,3.0,21.0,4.0,0.0
core:src/test/java/io/questdb/test/cairo/sql/RecordTest.java,1,1.0,0.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/vm/ContiguousMemoryMTest.java,22,21.0,1.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/vm/ContiguousOffsetMappedMemoryTest.java,3,1.0,2.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/vm/MemoryCARWImplTest.java,9,4.0,1.0,3.0,0.0
core:src/test/java/io/questdb/test/cairo/vm/MemoryPARWImplTest.java,5,4.0,0.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/vm/MemoryPMARImplTest.java,1,1.0,0.0,0.0,0.0
core:src/test/java/io/questdb/test/cairo/wal/TableSequencerImplTest.java,1,0.0,0.0,1.0,0.0
core:src/test/java/io/questdb/test/cairo/wal/WalTableWriterFuzzTest.java,10,0.0,2.0,8.0,0.0
core:src/test/java/io/questdb/test/cairo/wal/WalWriterTest.java,65,5.0,47.0,13.0,0.0
core:src/test/java/io/questdb/test/cairo/wal/WriteAndReadSyncTest.java,3,1.0,1.0,1.0,0.0
core:src/test/java/io/questdb/test/client/LineSenderBuilderTest.java,8,0.0,0.0,8.0,0.0
core:src/test/java/io/questdb/test/cutlass/IODispatcherHeartbeatTest.java,6,1.0,0.0,3.0,0.0
core:src/test/java/io/questdb/test/cutlass/NetUtils.java,3,1.0,1.0,1.0,0.0
