Class,TotalBrokenRules,Minor,Major,Critical,Patterns,cg-na,cg-npm
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/AttributeChangeEdit.java,3,0.0,1.0,2.0,State,5,1
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/BezierNodeEdit.java,1,0.0,1.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/CompositeFigureEvent.java,2,1.0,1.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/DrawingComponentRepainter.java,1,0.0,0.0,1.0,"State, (Object)Adapter",4,4
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/FigureAdapter.java,7,0.0,0.0,7.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/FigureEvent.java,3,0.0,0.0,3.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/HandleEvent.java,1,1.0,0.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/HandleMulticaster.java,4,0.0,4.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/SelectionComponentRepainter.java,1,0.0,0.0,1.0,"State, (Object)Adapter",4,6
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/SetBoundsEdit.java,3,3.0,0.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/ToolAdapter.java,4,0.0,0.0,4.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/ToolEvent.java,1,0.0,0.0,1.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/event/TransformRestoreEdit.java,2,0.0,0.0,2.0,State,4,1
jhotdraw-core:src/main/java/org/jhotdraw/draw/figure/AbstractAttributedCompositeFigure.java,9,2.0,5.0,1.0,Template Method,7,50
jhotdraw-core:src/main/java/org/jhotdraw/draw/figure/AbstractAttributedDecoratedFigure.java,2,0.0,0.0,1.0,"Prototype, Decorator, Template Method",6,14
jhotdraw-core:src/main/java/org/jhotdraw/draw/figure/AbstractAttributedFigure.java,8,2.0,4.0,1.0,Template Method,10,45
jhotdraw-core:src/main/java/org/jhotdraw/draw/figure/AbstractCompositeFigure.java,8,4.0,2.0,1.0,"Bridge, Composite",0,0
